BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
-422.338,92.1019,-33.7883,21.8365,-6.95866,-16.5862,11.7339,-16.2268,0.328174,1.503,-9.60284,3.95422,-6.64328,-1.74738,3.62302,-2.68596,6.70261,0.762848,-1.23828,1.26863,-5.23795
-418.431,92.4382,-37.1865,23.0423,-4.30939,-16.7838,12.2562,-15.1054,0.0350772,0.257762,-8.76767,5.13512,-6.87474,-1.05858,4.76549,-3.31962,5.9045,-0.268999,-0.571709,3.45983,-5.47162
-422.246,87.2521,-32.8839,24.7181,-7.16564,-14.3102,9.48001,-12.8615,-2.14763,1.00212,-9.41997,1.29201,-2.26994,-4.68897,4.44198,-1.06815,5.29604,2.28419,-2.9894,1.12584,-3.41655
-368.615,45.2656,-11.2789,20.537,-18.4328,10.1646,-17.9396,7.57686,-11.7797,7.64211,-9.81032,1.80012,-4.35544,2.21899,-0.498258,1.58177,4.72974,0.549451,0.206479,-1.95858,-0.316628
-323.999,52.1556,-15.781,19.9494,-10.8737,17.6897,-16.439,7.68519,-7.03886,7.26701,-11.8996,4.32763,-5.57669,-0.0301489,-1.21778,-4.42091,2.8808,-4.28631,1.08408,-1.10597,-1.55879
-335.583,66.9901,-19.0866,25.6632,-14.3767,14.1494,-14.8069,2.55389,-2.21914,2.40977,4.80139,-6.93197,4.69388,-3.35744,4.06266,-2.34868,1.59884,0.401913,-2.18449,1.62855,-0.39619
-365.308,86.7942,-31.1379,18.691,-10.6413,-1.19057,-1.35987,-9.37501,1.53905,1.27874,-2.33681,-2.93153,2.70828,-0.331034,3.64677,-3.48201,1.56272,3.76936,-1.75974,3.96492,-0.0624709
-385.863,96.0469,-37.355,14.261,-5.85474,-12.9951,5.48077,-19.472,2.31962,-0.712945,-11.1936,3.54639,-8.28396,-1.07462,1.47827,-7.88261,1.23623,0.135512,-1.3554,0.608998,-2.46605
-387.85,96.1977,-33.9258,17.3917,-3.90449,-9.99892,5.3616,-19.0818,3.81865,0.633302,-9.89402,5.06298,-6.88006,-0.38575,0.654509,-7.5755,2.29364,-0.269866,-0.614003,1.9668,-2.27074
-388.08,93.9455,-37.4563,19.6595,-6.46588,-13.3643,7.63005,-18.8349,2.54001,0.0476141,-10.1153,3.90102,-6.56183,3.14087,0.370418,-7.46083,4.05442,-0.88637,-0.0231712,4.29487,-1.78308
-393.448,96.1163,-33.5649,21.3145,-2.33406,-13.9433,8.86523,-18.1076,3.10264,6.61663,-10.2595,4.30607,-3.28315,0.165966,3.5545,-4.98149,4.21445,1.02119,-1.75443,3.6718,-1.60732
-399.118,95.8053,-35.8634,16.9473,-3.59412,-15.7958,8.83917,-18.2774,0.201339,4.94411,-12.2314,3.35175,-3.19287,-0.89038,2.872,-7.05706,3.54048,2.59261,-2.22023,5.53108,-1.58169
-397.871,96.9447,-32.3968,18.2271,-3.50709,-11.628,8.87089,-16.7107,4.48622,2.95172,-10.0027,3.96825,-5.34189,0.682911,1.42234,-6.6935,4.63336,0.166497,-2.02408,4.45822,-2.32587
-401.584,96.8409,-32.9928,18.7756,-1.81775,-13.3112,9.12083,-14.754,1.54735,3.97208,-7.53695,5.59046,-3.44893,0.479416,1.68772,-5.42855,3.81992,1.0417,1.0159,4.51757,-2.6535
-405.267,98.2718,-30.4087,17.2253,-2.05202,-12.962,9.78688,-15.6309,0.501704,4.17885,-10.1662,3.16072,-2.96305,-0.984461,0.573495,-6.71795,2.18759,0.461817,-1.15941,5.5907,-2.12618
-404.448,97.0637,-31.1148,20.5162,-1.21876,-14.5034,9.3349,-15.2688,0.586046,5.47833,-9.81681,3.44716,-5.13382,-2.43567,3.60147,-5.08417,1.3127,-0.426606,-1.6165,4.8694,-1.95459
-399.201,97.5287,-28.9934,20.0565,-3.45892,-9.40611,12.5165,-12.7337,4.02481,3.14547,-8.86747,3.91236,-6.92271,-0.201529,1.46847,-5.99039,4.14052,0.596286,0.569539,3.63149,-3.32574
-412.956,101.187,-31.1421,13.1962,0.842683,-16.4605,10.8718,-10.21,-1.40787,7.18097,-9.94419,0.496669,-1.39194,-4.22052,2.94295,-1.49941,2.31394,5.38934,-1.04273,1.98461,-0.00497879
-410,93.2341,-34.8394,17.11,-6.80121,-15.0352,9.11546,-16.2362,1.54379,0.15149,-13.4333,0.865017,-8.65696,-3.76747,-1.38182,-6.81745,2.20061,-0.274265,-0.590945,2.7665,-4.59972
-409.265,94.6943,-32.3037,21.0069,-4.46924,-12.9557,10.088,-13.8965,4.36653,0.984921,-9.89507,4.44559,-8.56452,-1.48796,1.59216,-6.48865,5.72299,2.51548,-0.563351,2.59996,-3.94503
-419.505,92.8284,-29.715,21.1681,-4.0132,-14.9648,7.77549,-15.1376,1.08915,1.16344,-10.5057,2.9274,-8.28249,-3.7785,0.556818,-5.53403,4.30928,1.07846,-0.24292,4.16411,-3.41822
-413.746,93.9697,-29.5502,22.9467,-3.73276,-11.856,10.5073,-14.7279,2.40976,0.398077,-10.5379,4.12464,-6.56578,-0.142699,-0.354731,-9.30057,3.13111,2.20239,2.16794,4.81443,-4.64526
-419.113,92.7875,-31.5661,24.7028,-3.16425,-13.8181,9.12419,-14.9966,2.16994,0.522524,-9.39856,4.30103,-8.81822,-2.43996,0.944285,-5.59807,5.15308,-0.76505,-1.36825,4.84065,-3.59243
-411.195,78.1395,-28.6261,21.9625,-12.9451,-4.87483,-3.46267,-4.45134,-5.40842,5.08931,-7.11272,-3.47317,2.22701,-7.87412,6.60082,-7.60293,5.89375,1.12441,-3.63101,8.05675,-6.79804
-368.622,46.5859,-7.15524,20.4445,-15.6157,12.1085,-13.8818,11.0711,-11.6913,11.0307,-9.45379,6.34292,-2.85302,4.22463,-0.865404,-0.641212,-0.28476,-0.330024,-0.489109,-1.49014,2.04546
-324.945,46.488,-15.6077,24.7104,-11.2492,19.0289,-17.7959,9.47989,-11.98,8.48862,-6.05524,1.75,-6.02721,-0.265849,-1.63238,-0.501229,1.52814,-6.52803,4.38531,-4.04549,0.800329
